OrderID,Product Name,,Category,Price,Quantity,OrderDate
1,Bush Somerset Collection Bookcase,,Furniture,261.96,2,2013-06-13
2,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,Furniture,731.94,3,2011-06-09
3,Self-Adhesive Address Labels for Typewriters by Universal,,Office Supplies,14.62,2,2011-06-09
4,Bretford CR4500 Series Slim Rectangular Table,,Furniture,957.58,5,2011-06-09
5,Eldon Fold 'N Roll Cart System,,Office Supplies,22.37,2,2011-06-09
6,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",,Furniture,48.86,7,2011-06-09
7,Newell 322,,Office Supplies,7.28,4,2011-06-09
8,Mitel 5320 IP Phone VoIP phone,,Technology,907.15,6,2011-06-09
9,DXL Angle-View Binders with Locking Rings by Samsill,,Office Supplies,18.5,3,2013-12-06
10,Belkin F5C206VTEL 6 Outlet Surge,,Office Supplies,114.9,5,2011-05-13
11,Chromcraft Rectangular Conference Tables,,Furniture,1706.18,9,2011-08-27
12,Konftel 250 Conference phone - Charcoal black,,Technology,911.42,4,2011-08-27
13,Xerox 1967,,Office Supplies,15.55,3,2011-08-27
14,Fellowes PB200 Plastic Comb Binding Machine,,Office Supplies,407.98,3,2012-09-25
15,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,Office Supplies,68.81,5,2013-01-16
16,Storex DuraTech Recycled Plastic Frosted Binders,,Office Supplies,2.54,3,2013-01-16
17,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",,Office Supplies,665.88,6,2013-07-18
18,Fellowes Super Stor/Drawer,,Office Supplies,55.5,2,2012-11-24
19,Newell 341,,Office Supplies,8.56,2,2012-11-24
20,Cisco SPA 501G IP Phone,,Technology,213.48,3,2012-11-24
21,"Wilson Jones Hanging View Binder, White, 1""",,Office Supplies,22.72,4,2012-11-24
22,Newell 318,,Office Supplies,19.46,7,2011-12-05
23,"Acco Six-Outlet Power Strip, 4' Cord Length",,Office Supplies,60.34,7,2011-12-05
24,"Global Deluxe Stacking Chair, Gray",,Furniture,71.37,2,2011-10-12
25,Bretford CR4500 Series Slim Rectangular Table,,Furniture,1044.63,3,2011-10-12
26,Wilson Jones Active Use Binders,,Office Supplies,11.65,2,2013-09-18
27,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,,Technology,90.57,3,2013-09-18
28,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",,Furniture,3083.43,7,2013-09-18
29,Avery Recycled Flexi-View Covers for Binding Systems,,Office Supplies,9.62,2,2014-11-07
30,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,Furniture,124.2,3,2014-06-18
31,Poly String Tie Envelopes,,Office Supplies,3.26,2,2012-11-13
32,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",,Office Supplies,86.3,6,2012-11-13
33,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",,Office Supplies,6.86,6,2012-11-13
34,Lumber Crayons,,Office Supplies,15.76,2,2012-03-02
35,Easy-staple paper,,Office Supplies,29.47,3,2014-11-06
36,GE 30524EE4,,Technology,1097.54,7,2014-11-06
37,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",,Furniture,190.92,5,2013-11-07
38,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",,Office Supplies,113.33,9,2013-11-07
39,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,Furniture,532.4,3,2013-10-14
40,"Global Fabric Manager's Chair, Dark Gray",,Furniture,212.06,3,2013-10-14
41,Plantronics HL10 Handset Lifter,,Technology,371.17,4,2013-10-14
42,Panasonic Kx-TS550,,Technology,147.17,4,2013-10-14
43,"Eldon Base for stackable storage shelf, platinum",,Office Supplies,77.88,2,2013-10-14
44,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",,Office Supplies,95.62,2,2013-10-14
45,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",,Technology,45.98,2,2013-10-14
46,Wilson Jones Leather-Like Binders with DublLock Round Rings,,Office Supplies,17.46,2,2014-09-19
47,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",,Office Supplies,211.96,4,2014-09-19
48,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,Technology,45,3,2014-09-19
49,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",,Technology,21.8,2,2012-09-07
